Category,Service,Duration,Price
Makijaż Permanentny,Brwi - Powder brows,2-3 godziny,€ 395
Makijaż Permanentny,Brwi - Microblading,2-3 godziny,€ 395
Makijaż Permanentny,Brwi - Combi brows,2-3 godziny,€ 425
Makijaż Permanentny,Eyeliner - Górna kreska,2 godziny,€ 295
Makijaż Permanentny,Eyeliner - Dolna kreska,1.5 godziny,€ 245
Makijaż Permanentny,Usta - Pełne usta,2.5 godziny,€ 445
Makijaż Permanentny,Korekta po 4-8 tygodniach,1 godzina,€ 95
Przedłużanie Rzęs,Zestaw klasyczny,1.5-2 godziny,€ 85
Przedłużanie Rzęs,Zestaw volume,2-2.5 godziny,€ 110
Przedłużanie Rzęs,Zestaw mega volume,2.5-3 godziny,€ 135
Przedłużanie Rzęs,Uzupełnienie 2-3 tygodnie,1 godzina,€ 50
Przedłużanie Rzęs,Uzupełnienie 3-4 tygodnie,1.5 godziny,€ 65
Przedłużanie Rzęs,Usunięcie,30 min,€ 25
Brwi & Rzęsy,Farbowanie brwi,15 min,€ 15
Brwi & Rzęsy,Regulacja brwi,15 min,€ 12
Brwi & Rzęsy,Farbowanie rzęs,15 min,€ 15
Brwi & Rzęsy,Laminacja rzęs & farbowanie,45 min,€ 55
Brwi & Rzęsy,Laminacja brwi,45 min,€ 60
Paznokcie,Manicure,45 min,€ 35
Paznokcie,Hybrydowy,1 godzina,€ 40
Paznokcie,Usunięcie hybrydowego,20 min,€ 10
Paznokcie,Paznokcie żelowe/akrylowe nowy zestaw,2 godziny,€ 65
Paznokcie,Paznokcie żelowe/akrylowe uzupełnienie,1.5 godziny,€ 50
Paznokcie,Paznokcie żelowe/akrylowe usunięcie,30 min,€ 25
Masaż Kobido,Masaż twarzy Kobido,60 min,€ 85
Masaż Kobido,Masaż twarzy Kobido - 5 sesji,5 x 60 min,€ 375
Masaż Kobido,Masaż twarzy Kobido - 10 sesji,10 x 60 min,€ 700
